2022-06-11 23:50 :: DEBUG    :: client :: Отладочная информация
2022-06-11 23:50 :: INFO     :: client :: Информационное сообщение
2022-06-11 23:50 :: WARNING  :: client :: Предупреждение
2022-06-11 23:50 :: ERROR    :: client :: Ошибка
2022-06-11 23:50 :: CRITICAL :: client :: Критическая ошибка
2022-06-12 00:09 :: INFO     :: client :: Не указан ip адрес и/или номер порта. Применено значение по-умолчанию - 127.0.0.1:7777.
2022-06-12 00:12 :: INFO     :: client :: Не указан IP-адрес и/или номер порта. Применено значение по-умолчанию - 127.0.0.1:7777.
2022-06-12 00:13 :: ERROR    :: client :: Значение порта может быть только числом в диапазоне от 1024 до 65535.
2022-06-12 00:14 :: INFO     :: client :: Не указан IP-адрес и/или номер порта. Применено значение по-умолчанию - 127.0.0.1:7777.
2022-06-12 00:14 :: ERROR    :: client :: Значение порта может быть только числом в диапазоне от 1024 до 65535.
2022-06-12 00:14 :: INFO     :: client :: Не указан IP-адрес и/или номер порта. Применено значение по-умолчанию - 127.0.0.1:7777.
2022-06-12 00:18 :: ERROR    :: client :: Значение порта может быть только числом в диапазоне от 1024 до 65535.
2022-06-12 00:34 :: INFO     :: client :: Не указан IP-адрес и/или номер порта. Применено значение по-умолчанию - 127.0.0.1:7777.
2022-06-12 00:35 :: INFO     :: client :: Не указан IP-адрес и/или номер порта. Применено значение по-умолчанию - 127.0.0.1:7777.
2022-06-12 00:46 :: INFO     :: client :: Не указан IP-адрес и/или номер порта. Применено значение по-умолчанию - 127.0.0.1:7777.
2022-06-12 00:46 :: INFO     :: client :: Не указан IP-адрес и/или номер порта. Применено значение по-умолчанию - 127.0.0.1:7777.
2022-06-12 00:46 :: ERROR    :: client :: Значение порта может быть только числом в диапазоне от 1024 до 65535.
2022-06-12 00:48 :: INFO     :: client :: Не указан IP-адрес и/или номер порта. Применено значение по-умолчанию - 127.0.0.1:7777.
2022-06-12 00:49 :: INFO     :: client :: Не указан IP-адрес и/или номер порта. Применено значение по-умолчанию - 127.0.0.1:7777.
